"id","titulo","sentiment_score","sentiment_category","strictness_index","regulatory_style"
117065,"Lei nº 5758, de 01 de setembro de 1980",0,"Neutral",0,"Balanced"
68696,"Acórdão nº 3302-009.721 do Processo 10640.723454/2014-84",1,"Positive",1,"Balanced"
131206,"Lei nº 574, de 17 de abril de 2002",0,"Neutral",0,"Balanced"
98103,"Decreto nº 39489, de 13 de marÃ§o de 1998",0,"Neutral",0,"Balanced"
124710,"Acórdão PJe TRT 3ª / Quinta Turma / 2023-04-19",0,"Neutral",0,"Balanced"
50570,"Decreto nº 60.571, de 10 de Abril de 1967",0,"Neutral",0,"Balanced"
79618,"Resolução do Senado Federal nº 22 de 05/09/2018",1,"Positive",-1,"Balanced"
27392,"RO 35 / RJ",0,"Neutral",0,"Balanced"
116668,"Decreto nº 11.259, de 13/03/1978",0,"Neutral",1,"Balanced"
9403,"Acórdão nº 629577 do Processo nº20110710227755apc",0,"Neutral",2,"Prescriptive"
2898,"Decreto nº 50.092, de 06/10/2005",0,"Neutral",0,"Balanced"
115240,"Lei nº 10038, de 6 de dezembro de 1989",0,"Neutral",0,"Balanced"
74161,"Acórdão nº 1402-002.195 do Processo 10880.014905/00-16",-0.333333333333333,"Negative",1,"Balanced"
82041,"InstruçãoNormativaRFB Nº 1776, de 28 de dezembro de 2017",0,"Neutral",1,"Balanced"
101379,"Lei Municipal nº 2.213, de 18 de dezembro de 2014",0,"Neutral",-1,"Balanced"
62683,"Acórdão nº 147826 do Processo nº19990110638256apc",-1,"Negative",-1,"Balanced"
57745,"RHC 49196 / MS",0,"Neutral",0,"Balanced"
68977,"Acórdão nº 3302-008.446 do Processo 11065.902345/2011-22",0,"Neutral",0,"Balanced"
123374,"ACÓRDÃO TRT 24ª / 1ª Turma / RO.1 0000235-84.2011.5.24.0002",0,"Neutral",-1,"Balanced"
65437,"Decreto nº 399 de 20/06/1891",-1,"Negative",0,"Balanced"
6903,"REsp 169937 / RS",0,"Neutral",0,"Balanced"
20928,"Lei Municipal nº 1.478, de 09 de novembro de 2004",0,"Neutral",0,"Balanced"
62870,"A aplicabilidade do método de licitação pública internacional das diretrizes de aquisições do grupo Banco Mundial em face da Lei geral de licitações e contratações brasileira (Lei 8.666, de 1993)",0,"Neutral",0,"Balanced"
83823,"InstruçãoNormativaSRF Nº 83, de 08 de julho de 1986",0,"Neutral",1,"Balanced"
56262,"Acórdão nº 3101-001.254 do Processo 10120.004233/2005-91",0,"Neutral",0,"Balanced"
11361,"Medida Provisória nº 1.770-47, de 8 de Abril de 1999",0,"Neutral",0,"Balanced"
93506,"Acórdão do processo Nº E-ED-RR - 694990-20.2000.5.04.5555",-1,"Negative",1,"Balanced"
112980,"PL 3791/2021",0,"Neutral",1,"Balanced"
10636,"A proteção autoral dos dados sísmicos",1,"Positive",0,"Balanced"
6636,"Acórdão nº 152690 do Processo nº20000110486068acj",0,"Neutral",0,"Balanced"
60541,"Decreto nº 32703, de 13 de maio de 1991",0,"Neutral",0,"Balanced"
74689,"Acórdão nº CSRF/01-05.124 do Processo 10930.001207/2001-43",0,"Neutral",0,"Balanced"
75643,"Acórdão nº 108-07.770 do Processo 13805.007586/98-14",1,"Positive",-1,"Balanced"
31099,"[ Projeto de Lei deConversão(CN) nº 17/2009 > Veto nº 55/2009 : Lei nº 12.099 de 27/11/2009 ]",0,"Neutral",0,"Balanced"
83167,"InstruçãoNormativaRFB Nº 1483, de 18 de julho de 2014",0,"Neutral",0,"Balanced"
119550,"Acórdão nº 327404 do Processo nº20080110501876apc",0,"Neutral",0,"Balanced"
50535,"Decreto nº 60.639, de 27 de Abril de 1967",0,"Neutral",0,"Balanced"
32964,"Acórdão nº 121931 do Processo nº19990110226208apc",-1,"Negative",-1,"Balanced"
83136,"INSTRUÇÃONORMATIVARFB Nº 1375, de 11 de julho de 2013",0,"Neutral",0,"Balanced"
85676,"Tratados internacionais em matéria tributária e asisençõesde tributos estaduais e municipais",0,"Neutral",0,"Balanced"
40235,"Inconstitucionalidade e ilegalidade do ICMS nas operações interestaduais de combustíveis com o Estado de Goiás",0,"Neutral",0,"Balanced"
89515,"Acórdão nº 240374 do Processo nº20050110349466apc",1,"Positive",-2,"Flexible"
110317,"Resoluçãon° 4, de 24 de Abril de 1988",0,"Neutral",0,"Balanced"
124413,"Acórdão nº 851749 do Processo nº20100110179909apc",1,"Positive",2,"Prescriptive"
69481,"Acórdão nº 3201-001.864 do Processo 10983.721444/2011-81",0,"Neutral",0,"Balanced"
86761,"Entidades educacionais",0,"Neutral",0,"Balanced"
75667,"Acórdão nº 1803-000.248 do Processo 19679.013070/2004-15",0,"Neutral",0,"Balanced"
6251,"Acórdão nº 119848 do Processo nºacj52398",0,"Neutral",1,"Balanced"
45162,"RESOLUÇÃO AUTORIZATIVA nº 14223, de 13/04/2023",0,"Neutral",1,"Balanced"
119910,"Acórdão nº 465014 do Processo nº20060110528458apc",-1,"Negative",2,"Prescriptive"
72568,"HC 16771 / MG",0,"Neutral",0,"Balanced"
101522,"Lei Municipal nº 1.684, de 01 de junho de 2020",0,"Neutral",0,"Balanced"
39076,"A floresta Amazônica e as mudanças climáticas",1,"Positive",-1,"Balanced"
879,"Acórdão PJe TRT 3ª / Oitava Turma / 2023-07-28",0,"Neutral",3,"Prescriptive"
12935,"Decreto nº 3.873, de 11/07/1925",0,"Neutral",0,"Balanced"
99704,"Decreto nº 30550, de 1 de dezembro de 1989",0,"Neutral",0,"Balanced"
124792,"Acórdão PJe TRT 3ª / Oitava Turma / 2023-02-10",0,"Neutral",0,"Balanced"
96486,"Acórdão do processo Nº AIRR - 1706-50.2014.5.09.0002",1,"Positive",0,"Balanced"
61458,"Contribuição do servidor público inativo para ofinanciamentoda seguridade social",0,"Neutral",0,"Balanced"
27641,"Acórdão do processo Nº Ag-AIRR - 11265-77.2019.5.15.0070",0,"Neutral",-1,"Balanced"
19768,"PL 6318/2009",0,"Neutral",0,"Balanced"
61675,"Decreto nº 14.307, de 23/11/1944",0,"Neutral",-1,"Balanced"
126728,"Acórdão PJe TRT 3ª / Quarta Turma / 2021-06-02",0,"Neutral",-1,"Balanced"
101003,"Acórdão do processo Nº RR - 89700-55.2004.5.09.0071",-0.5,"Negative",1,"Balanced"
9553,"REsp 243979 / SP",0,"Neutral",1,"Balanced"
25937,"Lei Municipal nº 5.877, de 14 de janeiro de 2004",0,"Neutral",0,"Balanced"
71830,"Acórdão nº 271002 do Processo nº20020150072656apc",0,"Neutral",-2,"Flexible"
52161,"REsp 218852 / SP",0,"Neutral",0,"Balanced"
130211,"Acórdão TRT 3ª / Quinta Turma / 2005-10-11",-1,"Negative",-2,"Flexible"
48071,"Lei nº 2.475, de 28 de Abril de 1955",0,"Neutral",-2,"Flexible"
92004,"Acórdão do processo Nº RR - 794110-02.2001.5.04.5555",0,"Neutral",0,"Balanced"
22434,"Parecer CONJUR-MTE Nº 250, de 29 de junho de 2009",1,"Positive",0,"Balanced"
100513,"Acórdão do processo Nº AIRR - 150000-90.2010.5.23.0003",-1,"Negative",1,"Balanced"
54982,"Acórdão nº 3302-010.504 do Processo 10640.909943/2016-93",0,"Neutral",2,"Prescriptive"
53330,"Acórdão do processo Nº RR - 161500-20.2005.5.02.0002",0,"Neutral",0,"Balanced"
132265,"Acórdão do processo Nº ARR - 182800-43.2009.5.15.0129",-0.714285714285714,"Negative",3,"Prescriptive"
4073,"Acórdão nº 808352 do Processo nº20130110558108apc",-1,"Negative",-1,"Balanced"
120880,"Acórdão nº 368421 do Processo nº20080110520465apc",0,"Neutral",1,"Balanced"
10883,"As transações eletrônicas e o direito de privacidade",1,"Positive",0,"Balanced"
55021,"Acórdão nº 3401-005.706 do Processo 10280.721871/2011-86",0,"Neutral",3,"Prescriptive"
53740,"Acórdão do processo Nº RR - 25597-26.2014.5.24.0021",0,"Neutral",0,"Balanced"
63686,"Acórdão nº 810453 do Processo nº20100110824033apc",0,"Neutral",0,"Balanced"
23582,"Acórdão TRT 3ª / Nona Turma / 2010-06-01",-1,"Negative",0,"Balanced"
65858,"Lei Ordinária n° 8271, de 30 de Março de 2017",0,"Neutral",0,"Balanced"
84796,"InstruçãoNormativaSRF Nº 2, de 13 de janeiro de 1978",0,"Neutral",0,"Balanced"
31553,"PLV 31/2017 MPV77917",0,"Neutral",1,"Balanced"
77681,"Princípio da soberania nacional e investimentos estrangeiros eminfraestrutura",0,"Neutral",0,"Balanced"
77377,"ACÓRDÃO TRT 24ª / 1ª Turma / RO.1 0000940-53.2013.5.24.0086",0,"Neutral",-1,"Balanced"
16349,"PL 2556/2019",1,"Positive",0,"Balanced"
129903,"Acórdão nº 666481 do Processo nº20130710007173acj",-1,"Negative",5,"Prescriptive"
38889,"O princípio da sustentabilidade",0,"Neutral",0,"Balanced"
109104,"Resoluçãon° 9, de 28 de Julho de 2005",0,"Neutral",0,"Balanced"
87228,"Lei nº 2.000, de 1º de Outubro de 1953",0,"Neutral",0,"Balanced"
89369,"Lei Municipal nº 935, de 12 de junho de 2013",0,"Neutral",0,"Balanced"
71433,"Decreto nº 95.181, de 10 de Novembro de 1987",0,"Neutral",-1,"Balanced"
72741,"Incentivosfiscaisno setor automotivo",0,"Neutral",0,"Balanced"
133901,"Lei Municipal nº 4.349, de 26 de setembro de 2017",0,"Neutral",-1,"Balanced"
116812,"Lei nº 14.373, de 15 de Junho de 2022",0,"Neutral",0,"Balanced"
110834,"RESOLUÇÃOnº 296, de 14/09/1998",0,"Neutral",1,"Balanced"
112942,"REsp 254957 / RS",1,"Positive",0,"Balanced"
90312,"PL 5832/2013",0,"Neutral",0,"Balanced"
2685,"Acórdão nº 668105 do Processo nº20120020294277agi",0.333333333333333,"Positive",3,"Prescriptive"
152,"[ Projeto de Decreto Legislativo (SF) nº 80/2012 ]",0,"Neutral",0,"Balanced"
5277,"EDcl no AREsp 354601 / MG",0,"Neutral",0,"Balanced"
17076,"Lei Municipal nº 2.447, de 24 de julho de 2017",1,"Positive",0,"Balanced"
89166,"Ação civil pública do ministério público do estado do Tocantins e do Ministério Público Federal em face do Ibama e enerpeixe",0,"Neutral",-1,"Balanced"
123561,"ACÓRDÃO TRT 24ª / 2ª Turma / RO.1 0132200-53.2009.5.24.0004",0,"Neutral",1,"Balanced"
13620,"Acórdão do processo Nº RO - 1002903-53.2016.5.02.0000",0,"Neutral",1,"Balanced"
124039,"ACORDÃO TRT 16ª / Tribunal Pleno / RO 0201500-42.2005.5.16.0012",0,"Neutral",0,"Balanced"
19141,"Acórdão nº 2402-003.256 do Processo 11080.722514/2010-73",0,"Neutral",-1,"Balanced"
13165,"Acórdão do processo Nº RODC - 240700-91.2006.5.04.0000",0,"Neutral",1,"Balanced"
90251,"SL 995 AgR / AM - AMAZONAS",1,"Positive",0,"Balanced"
55056,"Acórdão nº 3302-010.600 do Processo 10183.720754/2013-65",0,"Neutral",2,"Prescriptive"
119466,"Acórdão nº 443721 do Processo nº20080111286157apc",0,"Neutral",1,"Balanced"
37358,"Decretonº 610, de 21 de Julho de 1992",0,"Neutral",0,"Balanced"
122750,"Terceirizaçãoe a Lei n. 13.429/2017",0,"Neutral",0,"Balanced"
79588,"Decreto nº 38480, de 11 de setembro de 2017",0,"Neutral",0,"Balanced"
47457,"Portaria nº 269 de 14-05-2007",0,"Neutral",-1,"Balanced"
78034,"Decreto nº 45698, de 19 de agosto de 2011",0,"Neutral",0,"Balanced"
89919,"Decreto (municipal) nº 513, de 08 de janeiro de 2018",0,"Neutral",0,"Balanced"
45798,"RESOLUÇÃO HOMOLOGATÓRIA nº 1934, de 14/08/2015",0,"Neutral",0,"Balanced"
37787,"Decretonº 70.584, de 22 de Maio de 1972",1,"Positive",1,"Balanced"
56919,"Acórdão nº 1402-001.273 do Processo 11052.000883/2010-49",0,"Neutral",2,"Prescriptive"
20936,"Lei Municipal nº 20, de 09 de março de 1993",0,"Neutral",0,"Balanced"
28922,"RESOLUÇÃO NORMATIVA nº 350, de 27/01/2009",0,"Neutral",1,"Balanced"
103666,"Resolução da Câmara dos Deputados nº 10, de 1959",0,"Neutral",0,"Balanced"
54080,"Acórdão TRT 3ª / Primeira Turma / 2014-01-29",0,"Neutral",0,"Balanced"
127511,"Acórdão do processo Nº Ag-AIRR - 12152-70.2017.5.15.0122",0,"Neutral",0,"Balanced"
82523,"InstruçãoNormativaSRF Nº 143, de 29 de dezembro de 1989",0,"Neutral",0,"Balanced"
85878,"Creditamento do IPI relativo às entradas, no estabelecimento industrial, de insumos tributados à alíquota zero, isentos ou não tributados, empregados na fabricação de produto industrializado sobre o qual incide o IPI em alíquota positiva",0,"Neutral",0,"Balanced"
52251,"Decreto nº 13.707, de 30 de Julho de 1919",-1,"Negative",0,"Balanced"
57433,"Acórdão nº 3302-009.180 do Processo 10640.909559/2011-86",0,"Neutral",-1,"Balanced"
53107,"Lei n° 3816, de 23 de Dezembro de 2013",0,"Neutral",-1,"Balanced"
16622,"REsp 262964 / RS",0,"Neutral",0,"Balanced"
22427,"Acórdão PJe TRT 3ª / Quarta Turma / 2025-02-14",1,"Positive",5,"Prescriptive"
34356,"Decretonº 24.611, de 2 de Março de 1948",0,"Neutral",0,"Balanced"
40113,"Contribuições do STJ ao direito ambiental",1,"Positive",0,"Balanced"
12686,"Lei nº 5233, de 5 de setembro de 1969",0,"Neutral",-2,"Flexible"
82736,"INSTRUÇÃONORMATIVATRT 1ª Emenda Regimental nº 3, de 6 de agosto de 2004",0,"Neutral",0,"Balanced"
81429,"Lei Municipal nº 3.469, de 19 de agosto de 2011",0,"Neutral",-2,"Flexible"
66112,"Lei nº 4.595, de 18/06/1985",0,"Neutral",-1,"Balanced"
122663,"O desenvolvimento daterceirizaçãoe seus marcos normativos",0,"Neutral",0,"Balanced"
1473,"RHC 9801 / MG",0,"Neutral",0,"Balanced"
57766,"Acórdão nº 203-06656 do Processo 10380.009182/93-92",1,"Positive",0,"Balanced"
43715,"RESOLUÇÃO HOMOLOGATÓRIA nº 3075, de 27/07/2022",0,"Neutral",0,"Balanced"
130193,"Acórdão PJe TRT 3ª / Primeira Turma / 2023-10-18",1,"Positive",-4,"Flexible"
62046,"Acórdão nº 179072 do Processo nº20010150074454apc",0,"Neutral",0,"Balanced"
13901,"Acórdão nº 205042 do Processo nº20000710073692apc",0,"Neutral",2,"Prescriptive"
17616,"ARE 1242084 AgR / RS - RIO GRANDE DO SUL",1,"Positive",1,"Balanced"
102606,"[ Projeto de Lei do Senado nº 434/2003 ]",0,"Neutral",0,"Balanced"
36631,"Decretonº 39.685, de 6 de Agosto de 1956",0,"Neutral",0,"Balanced"
52721,"Decreto nº 7.600, de 14 de Outubro de 1909",-1,"Negative",0,"Balanced"
40275,"RESOLUÇÃO nº 134, de 27/03/2002",0,"Neutral",0,"Balanced"
54197,"Acórdão nº 9303-009.332 do Processo 10840.904896/2011-21",0,"Neutral",4,"Prescriptive"
57305,"Acórdão nº 407561 do Processo nº20050110431588apr",0,"Neutral",3,"Prescriptive"
78913,"Resolução do Senado Federal nº 63 de 01/12/1992",1,"Positive",-1,"Balanced"
50080,"Acórdão nº 732396 do Processo nº20130020214983agi",1,"Positive",0,"Balanced"
109293,"Resoluçãodo Senado Federal nº 43 de 18/09/1990",0,"Neutral",-1,"Balanced"
79273,"La legge sullo sciopero nei servizi pubblici essenziali",0,"Neutral",0,"Balanced"
90212,"ADI 4272 / MA - MARANHÃO",0,"Neutral",-5,"Flexible"
88304,"Acórdão nº 140475 do Processo nº20000150042848apc",0,"Neutral",0,"Balanced"
104542,"Lei Ordinária n° 1593, de 29 de Janeiro de 2015",0,"Neutral",0,"Balanced"
35777,"Decretonº 11.905, de 30 de Janeiro de 2024",0,"Neutral",0,"Balanced"
104052,"RHC 59270 / SP - SÃO PAULO",-1,"Negative",-1,"Balanced"
127708,"Acórdão do processo Nº RR - 727669-33.2001.5.15.5555",0,"Neutral",0,"Balanced"
39704,"A Eficácia do licenciamento ambiental como um instrumento público de gestão do meio ambiente",1,"Positive",0,"Balanced"
129820,"PL 2725/2003",0,"Neutral",1,"Balanced"
21040,"Recurso em Sentido Estrito (FO) - 1991.01.005994-1/RS",1,"Positive",0,"Balanced"
125737,"ADI 1601 / UF - UNIÃO FEDERAL",1,"Positive",-1,"Balanced"
7053,"Acórdão nº 176644 do Processo nº20000110093722apc",0,"Neutral",2,"Prescriptive"
100715,"Acórdão do processo Nº RR - 992-08.2014.5.03.0148",-0.0476190476190476,"Neutral",9,"Prescriptive"
111182,"Reflexões em torno daresponsabilidadecivil",-1,"Negative",0,"Balanced"
83862,"InstruçãoNormativaSRF Nº 124, de 08 de outubro de 1986",0,"Neutral",0,"Balanced"
64194,"Acórdão nº 462935 do Processo nº20090111511500apc",-1,"Negative",0,"Balanced"
67383,"O controle jurisdicional das políticas públicas",0,"Neutral",1,"Balanced"
54585,"ACÓRDÃO TRT 8ª / 1ª T / RO    0000131-83.2014.5.08.0115",0,"Neutral",0,"Balanced"
15212,"Acórdão do processo Nº RR - 18100-52.2009.5.04.0292",-1,"Negative",3,"Prescriptive"
110921,"RESOLUÇÃOnº 554, de 18/12/2001",0,"Neutral",1,"Balanced"
96964,"[MedidaProvisórianº 1971-7/2000 ]",0,"Neutral",0,"Balanced"
37610,"Decretonº 10328,  de 20 de Dezembro de 1990",1,"Positive",-1,"Balanced"
47208,"Resolução do Senado Federal nº 57 de 10/11/1995",0,"Neutral",-1,"Balanced"
114551,"Lei Municipal n° 2576,  de 05 de Dezembro de 2013",0,"Neutral",0,"Balanced"
106351,"Lei Ordinária n° 2971,  de 20 de Agosto de 1991",0,"Neutral",-2,"Flexible"
130875,"AgRg no REsp 1969578 / SC",-0.6,"Negative",2,"Prescriptive"
29707,"Acórdão TRT 3ª / Quarta Turma / 1997-07-23",0,"Neutral",0,"Balanced"
2726,"Acórdão do processo Nº RR - 1432-91.2015.5.12.0059",-1,"Negative",1,"Balanced"
121298,"Acórdão nº 295936 do Processo nº20050110036966apc",0,"Neutral",0,"Balanced"
105794,"Acórdão do processo Nº AIRR - 64940-81.2004.5.05.0191",0,"Neutral",1,"Balanced"
53168,"MS 6105 / DF",1,"Positive",0,"Balanced"
96973,"[MedidaProvisórianº 1953-14/2000 ]",0,"Neutral",0,"Balanced"
113057,"ACÓRDÃO TCU 1032/2014",0,"Neutral",1,"Balanced"
48174,"REsp 629994 / CE",0,"Neutral",1,"Balanced"
40407,"Decreto nº 21.252, de 10 de Junho de 1946",0,"Neutral",-1,"Balanced"
114814,"Lei nº 10086, de 28 de dezembro de 1989",0,"Neutral",0,"Balanced"
5025,"Acórdão nº 391290 do Processo nº20090020121763agi",0,"Neutral",-1,"Balanced"
23125,"Acórdão do processo Nº AIRR - 22540-45.2004.5.04.0461",0,"Neutral",0,"Balanced"
87607,"Lei nº 2520, de 19 de dezembro de 1961",0,"Neutral",0,"Balanced"
25988,"Acórdão do processo Nº RR - 184140-12.2005.5.04.0018",0,"Neutral",0,"Balanced"
61062,"PL 7418/2017",0,"Neutral",2,"Prescriptive"
7784,"Acórdão nº 165895 do Processo nº20010111232966acj",0,"Neutral",1,"Balanced"
12820,"Resolução nº 3102, de 6 de junho de 1983",1,"Positive",0,"Balanced"
100297,"Acórdão do processo Nº AIRR - 84400-84.2012.5.21.0011",-1,"Negative",0,"Balanced"
67553,"Transparência não é devassa, nem na Lei nº 12.527/2011",0,"Neutral",0,"Balanced"
128050,"Decreto nº 63.340, de 06/04/2018",0,"Neutral",0,"Balanced"
70675,"HC 2972 / SP",0,"Neutral",0,"Balanced"
16496,"Previdência social",1,"Positive",0,"Balanced"
113185,"Lei Municipal nº 5.948, de 14 de maio de 2014",0,"Neutral",-1,"Balanced"
104996,"REsp 639565 / SC",0,"Neutral",-2,"Flexible"
131516,"Acórdão nº 362480 do Processo nº20060710284185apc",-1,"Negative",2,"Prescriptive"
33146,"Acórdão nº 155355 do Processo nº19990110485896apc",0,"Neutral",0,"Balanced"
113331,"EREsp 85364 / SP",0,"Neutral",2,"Prescriptive"
58338,"Acórdão do processo Nº RR - 20697-15.2019.5.04.0204",1,"Positive",-2,"Flexible"
119360,"Acórdão nº 480289 do Processo nº20090111554827apc",0,"Neutral",1,"Balanced"
109190,"Resoluçãodo Senado Federal nº 8 de 21/05/1973",0,"Neutral",0,"Balanced"
43239,"RESOLUÇÃO HOMOLOGATÓRIA nº 869, de 26/08/2009",0,"Neutral",1,"Balanced"
119434,"Acórdão nº 616809 do Processo nº20110111905342apc",0,"Neutral",2,"Prescriptive"
125973,"Acórdão nº 2301-008.622 do Processo 10240.721232/2011-97",0,"Neutral",2,"Prescriptive"
33242,"REsp 181423 / AL",0,"Neutral",0,"Balanced"
8471,"Acórdão nº 153863 do Processo nº20010110287680apc",0,"Neutral",1,"Balanced"
121937,"AgInt no REsp 2027404 / PR",1,"Positive",2,"Prescriptive"
61107,"Acórdão nº 3201-005.488 do Processo 15940.720009/2017-44",1,"Positive",1,"Balanced"
11796,"Acórdão nº 9303-008.302 do Processo 13888.000990/2005-11",0,"Neutral",0,"Balanced"
81249,"Lei n° 4738, de 20 de Dezembro de 2019",0,"Neutral",-2,"Flexible"
50241,"El poder sancionador de la direccion general de ferrocarriles con respecto a lostransportespor cuenta del estado",-1,"Negative",0,"Balanced"
73888,"Acórdão nº 9101-004.634 do Processo 13831.000453/2003-56",0,"Neutral",-1,"Balanced"
68166,"Acórdão nº 101-91594 do Processo 10680.004175/97-43",-0.5,"Negative",-1,"Balanced"
18800,"REsp 1259688 / PR",1,"Positive",-4,"Flexible"
133175,"Acórdão nº 437243 do Processo nº20100510028323acj",-1,"Negative",0,"Balanced"
127593,"Acórdão do processo Nº RR - 685-46.2018.5.21.0008",0,"Neutral",0,"Balanced"
14424,"Acórdão nº 792059 do Processo nº20120110410673apc",-1,"Negative",3,"Prescriptive"
52291,"Decreto nº 9.977 de 04/07/1888",-1,"Negative",0,"Balanced"
30449,"Acórdão nº 9303-005.910 do Processo 10930.000846/2005-15",1,"Positive",2,"Prescriptive"
3218,"Acórdão nº 783111 do Processo nº20130110713597apc",0,"Neutral",0,"Balanced"
97153,"[MedidaProvisórianº 2038-67/2000 ]",1,"Positive",0,"Balanced"
40378,"RESOLUÇÃO AUTORIZATIVA nº 3887, de 06/02/2013",0,"Neutral",-1,"Balanced"
77594,"Acórdão nº 342730 do Processo nº20040710110076apc",0,"Neutral",2,"Prescriptive"
132139,"Acórdão nº 848893 do Processo nº20140110628457acj",-1,"Negative",8,"Prescriptive"
130666,"Acórdão nº 616742 do Processo nº20110610239124acj",-1,"Negative",3,"Prescriptive"
63578,"CC 16013 / RS",0,"Neutral",0,"Balanced"
130,"ACÓRDÃO TCU 2350/2009",0,"Neutral",5,"Prescriptive"
95134,"ACÓRDÃO TRT 1ª  / 10ª Turma / 0001432-02.2011.5.01.0039 - DOERJ 13-08-2015",1,"Positive",0,"Balanced"
32078,"Acórdão nº 114668 do Processo nº19980110017465apc",0,"Neutral",0,"Balanced"
120525,"Acórdão nº 484751 do Processo nº20090111461435acj",0,"Neutral",6,"Prescriptive"
1624,"RHC 98920 / DF",-1,"Negative",0,"Balanced"
30607,"ACÓRDÃO%20TCU%20321/1997",-1,"Negative",0,"Balanced"
120991,"Acórdão nº 756634 do Processo nº20120710389280acj",0,"Neutral",0,"Balanced"
29923,"Acórdão nº 1202-000.043 do Processo 10830.006805/2004-80",0,"Neutral",0,"Balanced"
106843,"Como executar uma dívida?",1,"Positive",2,"Prescriptive"
80114,"Lei Municipal nº 1.522, de 05 de fevereiro de 2014",1,"Positive",0,"Balanced"
112891,"REsp 319247 / SC",1,"Positive",0,"Balanced"
32204,"Acórdão nº 124760 do Processo nº19990020006894msg",1,"Positive",0,"Balanced"
110239,"Resoluçãonº 252, de 30 de setembro de 2011",0,"Neutral",0,"Balanced"
108596,"Resoluçãonº 56, de 15 de outubro de 1992",1,"Positive",0,"Balanced"
101312,"Acórdão do processo Nº RR - 25388-35.2013.5.24.0072",1,"Positive",0,"Balanced"
71667,"Decreto nº 31316, de 1 de junho de 1990",0,"Neutral",0,"Balanced"
79855,"Decreto nº 66.042, de 23/09/2021",0,"Neutral",0,"Balanced"
123697,"Acórdão PJe TRT 3ª / Nona Turma / 2017-02-02",1,"Positive",-1,"Balanced"
23402,"Acórdão do processo Nº RR - 343-70.2014.5.06.0015",1,"Positive",-2,"Flexible"
119959,"Acórdão nº 526737 do Processo nº20100510080106apc",0,"Neutral",1,"Balanced"
102985,"As interfaces entre o regime jurídico-internacional adotado no âmbito dapoluiçãoMarinha de origem terrestre e aquele referente às mudanças climáticas =",0,"Neutral",0,"Balanced"
35621,"Decretonº 5.132 de 06/11/1872",0,"Neutral",0,"Balanced"
124052,"Acórdão PJe TRT 3ª / Primeira Turma / 2018-11-22",0,"Neutral",1,"Balanced"
127827,"A Incidencia de icms sobre o serviço detransporteinternacional de cargas",0,"Neutral",0,"Balanced"
96629,"Acórdão do processo Nº AIRR - 1197-04.2015.5.09.0126",1,"Positive",0,"Balanced"
4561,"REsp 1025928 / RS",0,"Neutral",-1,"Balanced"
47536,"Acórdão nº 565176 do Processo nº20110111148667acj",1,"Positive",0,"Balanced"
131418,"Lei Municipal nº 3.992, de 30 de junho de 2015",0,"Neutral",-1,"Balanced"
124269,"ACORDÃO TRT 16ª / 2ª Turma / RO 0017500-70.2011.5.16.0019",0,"Neutral",2,"Prescriptive"
78845,"Reforma dos modelos tradicionais de PPP para enfrentamento dos desafios das cidades inteligentes",1,"Positive",-1,"Balanced"
56370,"Acórdão nº 103-19.993 do Processo 10293.001146/96-11",0,"Neutral",3,"Prescriptive"
126865,"Acórdão PJe TRT 3ª / Sexta Turma / 2022-04-25",0,"Neutral",0,"Balanced"
51917,"Decreto nº 6.171, de 27 de Agosto de 1940",0,"Neutral",0,"Balanced"
62236,"RESOLUÇÃO nº 074, de 31/03/2000",0,"Neutral",0,"Balanced"
124403,"Portos afogados",0,"Neutral",0,"Balanced"
9395,"Acórdão nº 446065 do Processo nº20040111238830apc",0,"Neutral",1,"Balanced"
5130,"AgRg no AREsp 699970 / DF",0,"Neutral",0,"Balanced"
84831,"InstruçãoNormativaSRF Nº 53, de 09 de novembro de 1978",0,"Neutral",1,"Balanced"
45597,"RESOLUÇÃO NORMATIVA nº 003, de 20/01/2004",0,"Neutral",1,"Balanced"
101687,"Lei Municipal nº 3.001, de 07 de julho de 2020",0,"Neutral",-2,"Flexible"
90428,"Lei Municipal nº 115, de 20 de dezembro de 2002",0,"Neutral",0,"Balanced"
119298,"Acórdão nº 502559 do Processo nº20090110371343apc",-1,"Negative",5,"Prescriptive"
64883,"Fiscalizaçãodos serviços públicos de energia elétrica",0,"Neutral",0,"Balanced"
56617,"ACÓRDÃO%20TCU%201731/2004",-1,"Negative",0,"Balanced"
126875,"Acórdão PJe TRT 3ª / Quarta Turma / 2023-06-29",0,"Neutral",0,"Balanced"
17074,"Lei Municipal nº 2.702, de 16 de julho de 2014",1,"Positive",-1,"Balanced"
65879,"Decreto nº 2564, de 31 de dezembro de 1947",0,"Neutral",0,"Balanced"
36458,"Decretonº 91.994, de 28 de Novembro de 1985",0,"Neutral",1,"Balanced"
113819,"REsp 279132 / SP",0,"Neutral",0,"Balanced"
49513,"REsp 1100777 / RS",-1,"Negative",1,"Balanced"
11941,"Acórdão nº 9303-009.655 do Processo 16349.000282/2009-91",0,"Neutral",2,"Prescriptive"
32648,"REsp 115341 / ES",0,"Neutral",0,"Balanced"
79481,"Paradigmas e pragmatismo no surgimento do Estado Regulador brasileiro em cotejo com o modelo americano de regulação",0,"Neutral",0,"Balanced"
131404,"Lei Ordinária n° 3675, de 12 de Dezembro de 2011",1,"Positive",0,"Balanced"
105363,"HC 370893 / SP",0,"Neutral",0,"Balanced"
